alpha,beta,delta,gamma,mse
1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,8.431581935679086
1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,8.638537744260386
1.3333333333333333,1,1,1.3333333333333333,8.87249603055298
1,1.3333333333333333,0.6666666666666666,1.3333333333333333,9.068922845911066
1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,9.30348027500647
1,1,0.6666666666666666,1.3333333333333333,9.360408688128427
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.42332128236431
0.6666666666666666,0.3333333333333333,1,1,9.589372133430167
0.6666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,10.04144551102728
0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,10.109267243964474
1.3333333333333333,1,0.3333333333333333,0.6666666666666666,10.160530673122324
1.3333333333333333,1,0.6666666666666666,1.3333333333333333,10.390722036715584
1,1.3333333333333333,0.3333333333333333,0.6666666666666666,10.605494941339357
0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,10.706828892809401
1.3333333333333333,0.6666666666666666,0.6666666666666666,1,10.773796467145187
0.6666666666666666,1,0.6666666666666666,1.3333333333333333,11.020472684893887
1,1,0.3333333333333333,0.6666666666666666,11.242069527099297
0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,12.360463435756511
1.3333333333333333,0.6666666666666666,1,1.3333333333333333,12.363880318560128
1,0.6666666666666666,0.6666666666666666,1.3333333333333333,12.457572888038865
0.6666666666666666,1,0.3333333333333333,0.6666666666666666,12.512277831169103
0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,12.958846522604016
0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,13.099352466551831
0.6666666666666666,0.3333333333333333,1,1.3333333333333333,13.518408875271124
1,0.6666666666666666,0.3333333333333333,0.6666666666666666,13.639042208951498
1,0.3333333333333333,1.3333333333333333,0.6666666666666666,13.709728475403997
1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,15.002270905595797
1,0.3333333333333333,1.3333333333333333,1,15.099966057282701
1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,15.512021148424918
1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,15.576362417779173
1,0.3333333333333333,1,0.6666666666666666,15.619963019115573
0.6666666666666666,0.3333333333333333,0.6666666666666666,1,15.764560088620279
1,0.3333333333333333,1.3333333333333333,0.3333333333333333,16.890418384573195
1,0.3333333333333333,1,0.3333333333333333,17.11750935783453
1,0.3333333333333333,0.6666666666666666,0.3333333333333333,18.119374728975348
1,0.3333333333333333,1.3333333333333333,1.3333333333333333,18.537918580923428
1,0.3333333333333333,1,1,18.547446480200893
1,0.3333333333333333,0.6666666666666666,0.6666666666666666,19.146289251925737
1.3333333333333333,1.3333333333333333,0.3333333333333333,1,20.166425782688446
1.3333333333333333,1,0.3333333333333333,1,21.699618774161912
1,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.701125173534685
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,22.852755782570895
1,0.3333333333333333,1,1.3333333333333333,23.75912424087998
1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,24.394288745080342
0.6666666666666666,0.3333333333333333,0.6666666666666666,1.3333333333333333,24.462980711251824
1.3333333333333333,0.3333333333333333,1.3333333333333333,1,24.712274550900833
1,0.3333333333333333,0.6666666666666666,1,24.985459087707635
1,1,0.3333333333333333,1,25.18876893042404
1,1.3333333333333333,0.3333333333333333,1,25.246291814415038
1.3333333333333333,0.3333333333333333,1,0.6666666666666666,27.068667184156237
1,0.6666666666666666,0.3333333333333333,1,28.11019784734569
1.3333333333333333,0.3333333333333333,1,1,28.91001529959793
0.6666666666666666,0.6666666666666666,0.3333333333333333,1,28.92242043129432
0.6666666666666666,1,0.3333333333333333,1,28.979076370172024
1.3333333333333333,0.6666666666666666,0.3333333333333333,1,29.022551801047328
1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,29.095923267584936
0.6666666666666666,1.3333333333333333,0.3333333333333333,1,32.2047570712132
1,0.3333333333333333,0.3333333333333333,0.6666666666666666,32.840775483332635
1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,32.84652107549883
1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,33.27735968034807
1.3333333333333333,0.3333333333333333,1,0.3333333333333333,33.727131505239285
1,0.3333333333333333,0.6666666666666666,1.3333333333333333,34.17429394161502
1.3333333333333333,0.3333333333333333,1,1.3333333333333333,34.274230381269106
1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,35.930935575084476
1.3333333333333333,0.3333333333333333,0.6666666666666666,1,38.36133649060576
1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,38.503027729143454
1.3333333333333333,1,0.3333333333333333,1.3333333333333333,40.73054844506933
1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,43.77766305328583
0.6666666666666666,0.3333333333333333,0.3333333333333333,1,44.61305874749341
1,1,0.3333333333333333,1.3333333333333333,47.443982555997295
1,1.3333333333333333,0.3333333333333333,1.3333333333333333,47.87087283794083
1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,48.404404811488675
1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,50.422248999181356
1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,51.41339404759938
1,0.6666666666666666,0.3333333333333333,1.3333333333333333,51.56061929323114
1,0.3333333333333333,0.3333333333333333,1,53.05706090883279
0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,55.93167142684789
0.6666666666666666,1,0.3333333333333333,1.3333333333333333,55.9632042720637
0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,60.69419177081122
1.3333333333333333,0.3333333333333333,0.3333333333333333,1,72.30986592227706
0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,77.53106320090244
1,0.3333333333333333,0.3333333333333333,1.3333333333333333,84.68354433095655
1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,104.73599021121439
